F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10788	FF:10788-110H5	CNhs13502	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M2) cell line:Kasumi-1	__na	__na
10787	FF:10787-110H4	CNhs11877	RDhi10083	__na	__na	__na	cell_line	rhabdomyosarcoma cell line:KYM-1	__na	__na
10786	FF:10786-110H3	CNhs11876	__na	__na	__na	__na	cell_line	testicular germ cell embryonal carcinoma cell line:ITO-II	__na	__na
10785	FF:10785-110H2	CNhs11875	__na	__na	__na	__na	cell_line	choriocarcinoma cell line:SCH	__na	__na
10784	FF:10784-110H1	CNhs11873	__na	__na	__na	__na	cell_line	mucinous cystadenocarcinoma cell line:MCAS	__na	__na
10783	FF:10783-110G9	CNhs11872	__na	__na	__na	__na	cell_line	thyroid carcinoma cell line:TCO-1	__na	__na
10782	FF:10782-110G8	CNhs11870	__na	__na	__na	__na	cell_line	liposarcoma cell line:KMLS-1	__na	__na
10781	FF:10781-110G7	CNhs11869	__na	__na	__na	__na	cell_line	somatostatinoma cell line:QGP-1	__na	__na
10778	FF:10778-110G4	CNhs11868	__na	__na	__na	__na	cell_line	hepatic mesenchymal tumor cell line:LI90	__na	__na
10777	FF:10777-110G3	CNhs11867	RDhi10082	__na	__na	__na	cell_line	NK T cell leukemia cell line:KHYG-1	__na	__na
10776	FF:10776-110G2	CNhs14140	__na	__na	__na	__na	cell_line	thyroid carcinoma cell line:KHM-5M	__na	__na
10775	FF:10775-110G1	CNhs11935	__na	__na	__na	__na	cell_line	lymphoma, malignant, hairy B-cell cell line:MLMA	__na	__na
10774	FF:10774-110F9	CNhs11866	__na	__na	__na	__na	cell_line	neuroectodermal tumor cell line:TASK1	__na	__na
10772	FF:10772-110F7	CNhs11934	__na	__na	__na	__na	cell_line	myelodysplastic syndrome cell line:SKM-1	__na	__na
